Year,Country,Industry,Sales,Assets,Profits,Market Value,Sales Growth,Assets Growth,Profits Growth,Market Value Growth
2009,Australia,Banking,135900,1772680,14100,101640,9.323465529724073,6.317847589573811,-10.702976567447752,-46.67645978699964
2009,Australia,Business Services & Supplies,4610,5640,690,4090,14.392059553349878,12.574850299401197,-46.51162790697675,-70.40520984081043
2009,Australia,Chemicals,7470,12290,910,5280,52.44897959183674,131.8867924528302,111.62790697674421,-37.5886524822695
2009,Australia,Conglomerates,31870,35430,1000,12960,288.18514007308164,245.3216374269006,49.25373134328359,-32.67532467532468
2009,Australia,Diversified Financials,58780,457940,1460,39550,11.389046806897852,6.947850253392196,-88.79508825786647,-67.89772727272727
2009,Australia,Drugs & Biotechnology,3400,4340,670,14120,25.92592592592593,26.16279069767442,45.652173913043484,-24.853645556146887
2009,Australia,Food Markets,54550,17570,1750,22510,23.556058890147224,21.172413793103438,41.12903225806453,-37.33296213808464
2009,Australia,"Food, Drink & Tobacco",7040,11170,380,10980,-4.087193460490468,-6.448911222780573,-65.13761467889908,-32.138442521631646
2009,Australia,"Hotels, Restaurants & Leisure",1920,7100,3410,2390,-59.66386554621849,-41.419141914191414,459.0163934426229,-83.92737054472092
2009,Australia,Insurance,16950,51820,1030,16560,1.9855595667870096,-1.7444065225635241,-52.31481481481482,-34.415841584158414
2009,Australia,Materials,149290,191410,20660,152210,70.5976459833162,7.727375056280961,-9.742245522062031,-62.978547453422195
2009,Australia,Media,2790,8000,1330,2310,12.5,-8.045977011494255,-56.25,-56.00000000000001
2009,Australia,Oil & Gas Operations,10010,20110,2700,24140,88.1578947368421,36.80272108843536,76.47058823529412,-44.8480694539639
2009,Australia,Telecommunications Services,23600,36390,3530,28220,17.354549975136745,13.082660037290239,27.898550724637673,-50.211714890613976
2009,Australia,Transportation,19370,40780,2220,7580,-13.526785714285715,-24.383460040793626,-11.2,-70.68832173240526
2009,Australia,Utilities,13110,21030,710,11360,54.054054054054056,-14.163265306122453,-4.054054054054057,-3.7288135593220306
2009,Austria,Banking,38790,534520,3410,15910,41.31147540983606,27.51866784359567,10.000000000000009,-73.51864181091877
2009,Austria,Construction,14420,11180,250,1490,15.916398713826375,54.633471645919784,0.0,-78.80512091038408
2009,Austria,Diversified Financials,1450,24150,470,450,98.63013698630137,39.91888760139051,-25.396825396825395,-91.0
2009,Austria,Insurance,18140,72980,820,5130,22.81651997291807,23.069139966273177,51.85185185185186,-56.92695214105794
2009,Austria,Materials,16560,19350,1130,2540,75.79617834394905,115.71906354515052,11.881188118811892,-74.02862985685071
2009,Austria,Oil & Gas Operations,35570,29520,1910,7910,42.109468637634826,26.099957283212305,4.94505494505495,-63.58195211786373
2009,Austria,Telecommunications Services,7200,12310,-70,5820,14.649681528662416,24.343434343434332,-109.45945945945945,-42.08955223880597
2009,Austria,Utilities,8590,20850,1220,11990,12.72965879265091,19.690011481056246,4.2735042735042805,-57.617532697066096
2009,Bahrain,Banking,3660,55790,430,3990,39.16349809885931,29.05389775618783,4.878048780487809,-44.81327800829875
2009,Belgium,Banking,188390,1561950,-7680,8490,5.4048005371230445,2.9522265285138127,-190.88757396449702,-88.44583560152422
2009,Belgium,Chemicals,13220,16150,560,4850,-5.368647100930568,3.7917737789203043,-50.877192982456144,-54.67289719626168
2009,Belgium,Drugs & Biotechnology,4650,13660,230,5020,0.0,0.14662756598240456,0.0,-41.4918414918415
2009,Belgium,Food Markets,36630,16330,990,13170,13.335396039603964,9.892328398384919,22.222222222222232,-16.380952380952387
2009,Belgium,"Food, Drink & Tobacco",22410,112240,1790,43800,6.3597532036070215,174.22428536525777,-44.2367601246106,-21.63177670424047
2009,Belgium,Materials,12770,4080,170,1720,-21.752450980392158,-48.484848484848484,-88.27586206896552,-80.63063063063063
2009,Belgium,Retailing,8710,7910,180,690,23.721590909090917,19.12650602409638,38.46153846153846,-64.79591836734694
2009,Belgium,Telecommunications Services,8230,10390,1110,11110,3.652392947103267,13.304252998909494,-13.28125,-31.036623215394165
2009,Bermuda,Capital Goods,6520,6160,630,3520,10.508474576271176,0.4893964110929794,-8.695652173913048,-52.368064952638704
2009,Bermuda,Conglomerates,33020,48300,-1150,14010,17.718360071301255,3.094983991462108,-169.27710843373492,-54.557249432371066
2009,Bermuda,Construction,6850,3010,530,1900,34.050880626223105,-7.3846153846153895,35.897435897435905,-79.85153764581125
2009,Bermuda,Diversified Financials,6990,42320,460,4850,-34.056603773584904,-47.29763387297634,-39.473684210526315,-62.66358737490377
2009,Bermuda,"Food, Drink & Tobacco",52570,20230,1060,5700,17.343749999999993,-8.128973660308814,35.897435897435905,-57.46268656716418
2009,Bermuda,Health Care Equipment & Services,10050,15870,1330,15960,-2.992277992277992,-15.67481402763018,-611.5384615384615,-25.210871602624184
2009,Bermuda,IT Software & Services,25680,10930,1790,21040,14.694059848146491,1.6744186046511622,33.582089552238806,-20.842738901429648
2009,Bermuda,Insurance,34070,179770,-640,27250,-32.76100256562068,-26.308669809387165,-107.21533258173619,-55.51020408163265
2009,Bermuda,Oil & Gas Operations,7490,22770,350,5640,-48.13019390581717,-30.02458512599877,-85.77235772357723,-86.77298311444652
2009,Bermuda,Technology Hardware & Equipment,14090,20250,800,4340,0.35612535612534746,-18.902683219863835,63.26530612244898,-72.94264339152119
2009,Brazil,Aerospace & Defense,5610,8610,370,2010,43.47826086956521,15.261044176706818,27.586206896551737,-75.78313253012048
2009,Brazil,Banking,131460,787920,10410,72170,13.936557462298493,15.208141422116949,-8.52372583479789,-55.173913043478265
2009,Brazil,Business Services & Supplies,900,6280,520,7080,23.28767123287672,-16.600265604249664,33.33333333333333,-31.79190751445087
2009,Brazil,Chemicals,7690,9440,-1070,1210,-15.214994487320844,-54.81091431306846,-482.1428571428571,-69.0537084398977
2009,Brazil,Diversified Financials,2930,13430,960,8420,42.92682926829268,160.7766990291262,65.51724137931035,-72.86496938446665
2009,Brazil,Food Markets,8370,6580,120,2850,28.76923076923077,29.783037475345164,200.0,-42.190669371196755
2009,Brazil,"Food, Drink & Tobacco",17850,11440,400,3530,268.801652892562,151.98237885462555,2.564102564102555,-7.59162303664922
2009,Brazil,Materials,70800,143780,15040,88340,18.177265898848272,15.189873417721511,8.90658942795075,-62.75559677895358
2009,Brazil,Oil & Gas Operations,103270,128310,14220,121740,5.647058823529405,-5.075090626618328,27.762803234501355,-48.9923325093225
2009,Brazil,Telecommunications Services,9870,15860,1320,5210,-30.049610205527998,-25.99160055996267,33.33333333333333,-75.76744186046511
2009,Brazil,Transportation,1320,2360,330,3930,0.0,-0.8403361344537785,0.0,-43.04347826086956
2009,Brazil,Utilities,31330,107540,4030,31650,16.94662187383351,6.233330040501817,13.841807909604519,-46.55521783181358
